 CRIM ZN INDUS CHAS NOX RM AGE DIS RAD TAX PTRATIO B LSTAT MEDV 
 0.16902 0.00 25.65 0 0.5810 5.986 88.4 1.992 2 188.0 19.10 385.0 14.81 21.40
 0.38735 0.00 25.65 0 0.5810 5.613 95.6 1.757 2 188.0 19.10 359.2 27.26 15.70
 0.25915 0.00 21.89 0 0.6240 5.693 96.0 1.788 4 437.0 21.20 392.1 17.19 16.20
 0.32543 0.00 21.89 0 0.6240 6.431 98.8 1.812 4 437.0 21.20 396.9 15.39 18.00
 0.88125 0.00 21.89 0 0.6240 5.637 94.7 1.979 4 437.0 21.20 396.9 18.34 14.30
 0.34006 0.00 21.89 0 0.6240 6.458 98.9 2.118 4 437.0 21.20 395.0 12.60 19.20
 1.19294 0.00 21.89 0 0.6240 6.326 97.7 2.271 4 437.0 21.20 396.9 12.26 19.60
 0.59005 0.00 21.89 0 0.6240 6.372 97.9 2.327 4 437.0 21.20 385.7 11.12 23.00
 0.32982 0.00 21.89 0 0.6240 5.822 95.4 2.469 4 437.0 21.20 388.6 15.03 18.40
 0.97617 0.00 21.89 0 0.6240 5.757 98.4 2.346 4 437.0 21.20 262.7 17.31 15.60
 0.55778 0.00 21.89 0 0.6240 6.335 98.2 2.110 4 437.0 21.20 394.6 16.96 18.10
 0.32264 0.00 21.89 0 0.6240 5.942 93.5 1.966 4 437.0 21.20 378.2 16.90 17.40
 0.35233 0.00 21.89 0 0.6240 6.454 98.4 1.849 4 437.0 21.20 394.0 14.59 17.10
 0.24980 0.00 21.89 0 0.6240 5.857 98.2 1.668 4 437.0 21.20 392.0 21.32 13.30
 0.54452 0.00 21.89 0 0.6240 6.151 97.9 1.668 4 437.0 21.20 396.9 18.46 17.80
 0.29090 0.00 21.89 0 0.6240 6.174 93.6 1.611 4 437.0 21.20 388.0 24.16 14.00
 1.62864 0.00 21.89 0 0.6240 5.019 100.0 1.439 4 437.0 21.20 396.9 34.41 14.40
 3.32105 0.00 19.58 1 0.8710 5.403 100.0 1.321 5 403.0 14.70 396.9 26.82 13.40
 4.09740 0.00 19.58 0 0.8710 5.468 100.0 1.411 5 403.0 14.70 396.9 26.42 15.60
 2.77974 0.00 19.58 0 0.8710 4.903 97.8 1.345 5 403.0 14.70 396.9 29.29 11.80
 2.37934 0.00 19.58 0 0.8710 6.130 100.0 1.419 5 403.0 14.70 172.9 27.80 13.80
 2.15505 0.00 19.58 0 0.8710 5.628 100.0 1.516 5 403.0 14.70 169.2 16.65 15.60
 2.36862 0.00 19.58 0 0.8710 4.926 95.7 1.460 5 403.0 14.70 391.7 29.53 14.60
 2.33099 0.00 19.58 0 0.8710 5.186 93.8 1.529 5 403.0 14.70 356.9 28.32 17.80
 2.73397 0.00 19.58 0 0.8710 5.597 94.9 1.525 5 403.0 14.70 351.8 21.45 15.40
 1.65660 0.00 19.58 0 0.8710 6.122 97.3 1.618 5 403.0 14.70 372.8 14.10 21.50
 1.49632 0.00 19.58 0 0.8710 5.404 100.0 1.591 5 403.0 14.70 341.6 13.28 19.60
 1.12658 0.00 19.58 1 0.8710 5.012 88.0 1.610 5 403.0 14.70 343.2 12.12 15.30
 2.14918 0.00 19.58 0 0.8710 5.709 98.5 1.623 5 403.0 14.70 261.9 15.79 19.40
 1.41385 0.00 19.58 1 0.8710 6.129 96.0 1.749 5 403.0 14.70 321.0 15.12 17.00
 3.53501 0.00 19.58 1 0.8710 6.152 82.6 1.745 5 403.0 14.70 88.0 15.02 15.60
 2.44668 0.00 19.58 0 0.8710 5.272 94.0 1.736 5 403.0 14.70 88.6 16.14 13.10
 1.22358 0.00 19.58 0 0.6050 6.943 97.4 1.877 5 403.0 14.70 363.4 4.59 41.30
 1.34284 0.00 19.58 0 0.6050 6.066 100.0 1.757 5 403.0 14.70 353.8 6.43 24.30
 1.42502 0.00 19.58 0 0.8710 6.510 100.0 1.765 5 403.0 14.70 364.3 7.39 23.30
 1.27346 0.00 19.58 1 0.6050 6.250 92.6 1.798 5 403.0 14.70 338.9 5.50 27.00
 1.46336 0.00 19.58 0 0.6050 7.489 90.8 1.970 5 403.0 14.70 374.4 1.73 50.00
 1.83377 0.00 19.58 1 0.6050 7.802 98.2 2.040 5 403.0 14.70 389.6 1.92 50.00
 1.51902 0.00 19.58 1 0.6050 8.375 93.9 2.162 5 403.0 14.70 388.4 3.32 50.00
 2.24236 0.00 19.58 0 0.6050 5.854 91.8 2.422 5 403.0 14.70 395.1 11.64 22.70
 2.92400 0.00 19.58 0 0.6050 6.101 93.0 2.283 5 403.0 14.70 240.1 9.81 25.00
 2.01019 0.00 19.58 0 0.6050 7.929 96.2 2.045 5 403.0 14.70 369.3 3.70 50.00
 1.80028 0.00 19.58 0 0.6050 5.877 79.2 2.425 5 403.0 14.70 227.6 12.14 23.80
 2.30040 0.00 19.58 0 0.6050 6.319 96.1 2.100 5 403.0 14.70 297.0 11.10 23.80
 2.44953 0.00 19.58 0 0.6050 6.402 95.2 2.262 5 403.0 14.70 330.0 11.32 22.30
 1.20742 0.00 19.58 0 0.6050 5.875 94.6 2.425 5 403.0 14.70 292.2 14.43 17.40
 2.31390 0.00 19.58 0 0.6050 5.880 97.3 2.388 5 403.0 14.70 348.1 12.03 19.10
 0.13914 0.00 4.05 0 0.5100 5.572 88.5 2.596 5 296.0 16.60 396.9 14.69 23.10
 0.09178 0.00 4.05 0 0.5100 6.416 84.1 2.646 5 296.0 16.60 395.5 9.04 23.60
 0.08447 0.00 4.05 0 0.5100 5.859 68.7 2.701 5 296.0 16.60 393.2 9.64 22.60
 0.06664 0.00 4.05 0 0.5100 6.546 33.1 3.132 5 296.0 16.60 390.9 5.33 29.40
 0.07022 0.00 4.05 0 0.5100 6.020 47.2 3.554 5 296.0 16.60 393.2 10.11 23.20
 0.05425 0.00 4.05 0 0.5100 6.315 73.4 3.317 5 296.0 16.60 395.6 6.29 24.60
 0.06642 0.00 4.05 0 0.5100 6.860 74.4 2.915 5 296.0 16.60 391.2 6.92 29.90
 0.05780 0.00 2.46 0 0.4880 6.980 58.4 2.829 3 193.0 17.80 396.9 5.04 37.20
 0.06588 0.00 2.46 0 0.4880 7.765 83.3 2.741 3 193.0 17.80 395.5 7.56 39.80
 0.06888 0.00 2.46 0 0.4880 6.144 62.2 2.597 3 193.0 17.80 396.9 9.45 36.20
 0.09103 0.00 2.46 0 0.4880 7.155 92.2 2.700 3 193.0 17.80 394.1 4.82 37.90
 0.10008 0.00 2.46 0 0.4880 6.563 95.6 2.847 3 193.0 17.80 396.9 5.68 32.50
 0.08308 0.00 2.46 0 0.4880 5.604 89.8 2.987 3 193.0 17.80 391.0 13.98 26.40
 0.06047 0.00 2.46 0 0.4880 6.153 68.8 3.279 3 193.0 17.80 387.1 13.15 29.60
 0.05602 0.00 2.46 0 0.4880 7.831 53.6 3.199 3 193.0 17.80 392.6 4.45 50.00
 0.07875 45.00 3.44 0 0.4370 6.782 41.1 3.788 5 398.0 15.20 393.8 6.68 32.00
 0.12579 45.00 3.44 0 0.4370 6.556 29.1 4.566 5 398.0 15.20 382.8 4.56 29.80
 0.08370 45.00 3.44 0 0.4370 7.185 38.9 4.566 5 398.0 15.20 396.9 5.39 34.90
 0.09068 45.00 3.44 0 0.4370 6.951 21.5 6.479 5 398.0 15.20 377.6 5.10 37.00
 0.06911 45.00 3.44 0 0.4370 6.739 30.8 6.479 5 398.0 15.20 389.7 4.69 30.50
 0.08664 45.00 3.44 0 0.4370 7.178 26.3 6.479 5 398.0 15.20 390.4 2.87 36.40
 0.02187 60.00 2.93 0 0.4010 6.800 9.9 6.219 1 265.0 15.60 393.3 5.03 31.10
 0.01439 60.00 2.93 0 0.4010 6.604 18.8 6.219 1 265.0 15.60 376.7 4.38 29.10
 0.01381 80.00 0.46 0 0.4220 7.875 32.0 5.648 4 255.0 14.40 394.2 2.97 50.00
 0.04011 80.00 1.52 0 0.4040 7.287 34.1 7.309 2 329.0 12.60 396.9 4.08 33.30
 0.04666 80.00 1.52 0 0.4040 7.107 36.6 7.309 2 329.0 12.60 354.3 8.61 30.30
 0.03768 80.00 1.52 0 0.4040 7.274 38.3 7.309 2 329.0 12.60 392.2 6.62 34.60
 0.03150 95.00 1.47 0 0.4030 6.975 15.3 7.653 3 402.0 17.00 396.9 4.56 34.90
 0.01778 95.00 1.47 0 0.4030 7.135 13.9 7.653 3 402.0 17.00 384.3 4.45 32.90
 0.03445 82.50 2.03 0 0.4150 6.162 38.4 6.270 2 348.0 14.70 393.7 7.43 24.10
 0.02177 82.50 2.03 0 0.4150 7.610 15.7 6.270 2 348.0 14.70 395.3 3.11 42.30
 0.03510 95.00 2.68 0 0.4161 7.853 33.2 5.118 4 224.0 14.70 392.7 3.81 48.50
 0.02009 95.00 2.68 0 0.4161 8.034 31.9 5.118 4 224.0 14.70 390.5 2.88 50.00
 0.13642 0.00 10.59 0 0.4890 5.891 22.3 3.945 4 277.0 18.60 396.9 10.87 22.60
 0.22969 0.00 10.59 0 0.4890 6.326 52.5 4.354 4 277.0 18.60 394.8 10.97 24.40
 0.25199 0.00 10.59 0 0.4890 5.783 72.7 4.354 4 277.0 18.60 389.4 18.06 22.50
 0.13587 0.00 10.59 1 0.4890 6.064 59.1 4.239 4 277.0 18.60 381.3 14.66 24.40
 0.43571 0.00 10.59 1 0.4890 5.344 100.0 3.875 4 277.0 18.60 396.9 23.09 20.00
 0.17446 0.00 10.59 1 0.4890 5.960 92.1 3.877 4 277.0 18.60 393.2 17.27 21.70
 0.37578 0.00 10.59 1 0.4890 5.404 88.6 3.665 4 277.0 18.60 395.2 23.98 19.30
 0.21719 0.00 10.59 1 0.4890 5.807 53.8 3.652 4 277.0 18.60 390.9 16.03 22.40
 0.14052 0.00 10.59 0 0.4890 6.375 32.3 3.945 4 277.0 18.60 385.8 9.38 28.10
 0.28955 0.00 10.59 0 0.4890 5.412 9.8 3.587 4 277.0 18.60 348.9 29.55 23.70
 0.19802 0.00 10.59 0 0.4890 6.182 42.4 3.945 4 277.0 18.60 393.6 9.47 25.00
 0.04560 0.00 13.89 1 0.5500 5.888 56.0 3.112 5 276.0 16.40 392.8 13.51 23.30
 0.07013 0.00 13.89 0 0.5500 6.642 85.1 3.421 5 276.0 16.40 392.7 9.69 28.70
 0.11069 0.00 13.89 1 0.5500 5.951 93.8 2.889 5 276.0 16.40 396.9 17.92 21.50
 0.11425 0.00 13.89 1 0.5500 6.373 92.4 3.363 5 276.0 16.40 393.7 10.50 23.00
 0.35809 0.00 6.20 1 0.5070 6.951 88.5 2.861 8 307.0 17.40 391.7 9.71 26.70
 0.40771 0.00 6.20 1 0.5070 6.164 91.3 3.048 8 307.0 17.40 395.2 21.46 21.70
 0.62356 0.00 6.20 1 0.5070 6.879 77.7 3.272 8 307.0 17.40 390.3 9.93 27.50
 0.61470 0.00 6.20 0 0.5070 6.618 80.8 3.272 8 307.0 17.40 396.9 7.60 30.10
 0.31533 0.00 6.20 0 0.5040 8.266 78.3 2.894 8 307.0 17.40 385.0 4.14 44.80
 0.52693 0.00 6.20 0 0.5040 8.725 83.0 2.894 8 307.0 17.40 382.0 4.63 50.00
 0.38214 0.00 6.20 0 0.5040 8.040 86.5 3.215 8 307.0 17.40 387.3 3.13 37.60
 0.41238 0.00 6.20 0 0.5040 7.163 79.9 3.215 8 307.0 17.40 372.0 6.36 31.60
 0.29819 0.00 6.20 0 0.5040 7.686 17.0 3.375 8 307.0 17.40 377.5 3.92 46.70
 0.44178 0.00 6.20 0 0.5040 6.552 21.4 3.375 8 307.0 17.40 380.3 3.76 31.50
 0.53700 0.00 6.20 0 0.5040 5.981 68.1 3.671 8 307.0 17.40 378.3 11.65 24.30
 0.46296 0.00 6.20 0 0.5040 7.412 76.9 3.671 8 307.0 17.40 376.1 5.25 31.70
 0.57529 0.00 6.20 0 0.5070 8.337 73.3 3.838 8 307.0 17.40 385.9 2.47 41.70
 0.33147 0.00 6.20 0 0.5070 8.247 70.4 3.651 8 307.0 17.40 378.9 3.95 48.30
 0.44791 0.00 6.20 1 0.5070 6.726 66.5 3.651 8 307.0 17.40 360.2 8.05 29.00
 0.33045 0.00 6.20 0 0.5070 6.086 61.5 3.651 8 307.0 17.40 376.7 10.88 24.00
 0.52058 0.00 6.20 1 0.5070 6.631 76.5 4.148 8 307.0 17.40 388.4 9.54 25.10
 0.51183 0.00 6.20 0 0.5070 7.358 71.6 4.148 8 307.0 17.40 390.0 4.73 31.50
 0.08244 30.00 4.93 0 0.4280 6.481 18.5 6.189 6 300.0 16.60 379.4 6.36 23.70
 0.09252 30.00 4.93 0 0.4280 6.606 42.2 6.189 6 300.0 16.60 383.7 7.37 23.30
 0.11329 30.00 4.93 0 0.4280 6.897 54.3 6.336 6 300.0 16.60 391.2 11.38 22.00
 0.10612 30.00 4.93 0 0.4280 6.095 65.1 6.336 6 300.0 16.60 394.6 12.40 20.10
 0.10290 30.00 4.93 0 0.4280 6.358 52.9 7.035 6 300.0 16.60 372.7 11.22 22.20
 0.12757 30.00 4.93 0 0.4280 6.393 7.8 7.035 6 300.0 16.60 374.7 5.19 23.70
 0.20608 22.00 5.86 0 0.4310 5.593 76.5 7.954 7 330.0 19.10 372.4 12.50 17.60
 0.19133 22.00 5.86 0 0.4310 5.605 70.2 7.954 7 330.0 19.10 389.1 18.46 18.50
 0.33983 22.00 5.86 0 0.4310 6.108 34.9 8.055 7 330.0 19.10 390.1 9.16 24.30
 0.19657 22.00 5.86 0 0.4310 6.226 79.2 8.055 7 330.0 19.10 376.1 10.15 20.50
 0.16439 22.00 5.86 0 0.4310 6.433 49.1 7.826 7 330.0 19.10 374.7 9.52 24.50
 0.19073 22.00 5.86 0 0.4310 6.718 17.5 7.826 7 330.0 19.10 393.7 6.56 26.20
 0.14030 22.00 5.86 0 0.4310 6.487 13.0 7.396 7 330.0 19.10 396.2 5.90 24.40
 0.21409 22.00 5.86 0 0.4310 6.438 8.9 7.396 7 330.0 19.10 377.0 3.59 24.80
